,total_bill,tip,sex,smoker,day,time,size,discounted_price,running_total,Bill_by_Day
99,12.46,1.5,Male,No,Fri,Dinner,2,11.214,1961.6699999999994,209.23
100,11.35,2.5,Female,Yes,Fri,Dinner,2,10.215,1973.0199999999993,220.57999999999998
101,15.38,3.0,Female,Yes,Fri,Dinner,2,13.842,1988.3999999999994,235.95999999999998
102,44.3,2.5,Female,Yes,Sat,Dinner,3,39.87,2032.6999999999994,872.28
103,22.42,3.48,Female,Yes,Sat,Dinner,2,20.178,2055.1199999999994,894.6999999999999
104,20.92,4.08,Female,No,Sat,Dinner,2,18.828000000000003,2076.0399999999995,915.6199999999999
105,15.36,1.64,Male,Yes,Sat,Dinner,2,13.824,2091.3999999999996,930.9799999999999
106,20.49,4.06,Male,Yes,Sat,Dinner,2,18.441,2111.8899999999994,951.4699999999999
107,25.21,4.29,Male,Yes,Sat,Dinner,2,22.689,2137.0999999999995,976.68
108,18.24,3.76,Male,No,Sat,Dinner,2,16.415999999999997,2155.3399999999992,994.92
109,14.31,4.0,Female,Yes,Sat,Dinner,2,12.879000000000001,2169.649999999999,1009.2299999999999
110,14.0,3.0,Male,No,Sat,Dinner,2,12.6,2183.649999999999,1023.2299999999999
111,7.25,1.0,Female,No,Sat,Dinner,1,6.525,2190.899999999999,1030.48
112,38.07,4.0,Male,No,Sun,Dinner,3,34.263,2228.9699999999993,688.4399999999999
113,23.95,2.55,Male,No,Sun,Dinner,2,21.555,2252.919999999999,712.39
114,25.71,4.0,Female,No,Sun,Dinner,3,23.139,2278.629999999999,738.1
115,17.31,3.5,Female,No,Sun,Dinner,2,15.578999999999999,2295.939999999999,755.41
116,29.93,5.07,Male,No,Sun,Dinner,4,26.936999999999998,2325.869999999999,785.3399999999999
117,10.65,1.5,Female,No,Thur,Lunch,2,9.585,2336.519999999999,284.73999999999995
118,12.43,1.8,Female,No,Thur,Lunch,2,11.187,2348.949999999999,297.16999999999996
119,24.08,2.92,Female,No,Thur,Lunch,4,21.671999999999997,2373.029999999999,321.24999999999994
120,11.69,2.31,Male,No,Thur,Lunch,2,10.520999999999999,2384.719999999999,332.93999999999994
121,13.42,1.68,Female,No,Thur,Lunch,2,12.078,2398.139999999999,346.35999999999996
122,14.26,2.5,Male,No,Thur,Lunch,2,12.834,2412.399999999999,360.61999999999995
123,15.95,2.0,Male,No,Thur,Lunch,2,14.354999999999999,2428.349999999999,376.56999999999994
124,12.48,2.52,Female,No,Thur,Lunch,2,11.232,2440.829999999999,389.04999999999995
125,29.8,4.2,Female,No,Thur,Lunch,6,26.82,2470.629999999999,418.84999999999997
126,8.52,1.48,Male,No,Thur,Lunch,2,7.667999999999999,2479.149999999999,427.36999999999995
127,14.52,2.0,Female,No,Thur,Lunch,2,13.068,2493.669999999999,441.88999999999993
128,11.38,2.0,Female,No,Thur,Lunch,2,10.242,2505.0499999999993,453.2699999999999
129,22.82,2.18,Male,No,Thur,Lunch,3,20.538,2527.8699999999994,476.0899999999999
130,19.08,1.5,Male,No,Thur,Lunch,2,17.171999999999997,2546.9499999999994,495.1699999999999
131,20.27,2.83,Female,No,Thur,Lunch,2,18.243,2567.2199999999993,515.4399999999999
132,11.17,1.5,Female,No,Thur,Lunch,2,10.053,2578.3899999999994,526.6099999999999
133,12.26,2.0,Female,No,Thur,Lunch,2,11.033999999999999,2590.6499999999996,538.8699999999999
134,18.26,3.25,Female,No,Thur,Lunch,2,16.434,2608.91,557.1299999999999
135,8.51,1.25,Female,No,Thur,Lunch,2,7.659,2617.42,565.6399999999999
136,10.33,2.0,Female,No,Thur,Lunch,2,9.297,2627.75,575.9699999999999
137,14.15,2.0,Female,No,Thur,Lunch,2,12.735,2641.9,590.1199999999999
138,16.0,2.0,Male,Yes,Thur,Lunch,2,14.4,2657.9,606.1199999999999
139,13.16,2.75,Female,No,Thur,Lunch,2,11.844,2671.06,619.2799999999999
140,17.47,3.5,Female,No,Thur,Lunch,2,15.722999999999999,2688.5299999999997,636.7499999999999
141,34.3,6.7,Male,No,Thur,Lunch,6,30.869999999999997,2722.83,671.0499999999998
142,41.19,5.0,Male,No,Thur,Lunch,5,37.071,2764.02,712.2399999999998
143,27.05,5.0,Female,No,Thur,Lunch,6,24.345,2791.07,739.2899999999997
144,16.43,2.3,Female,No,Thur,Lunch,2,14.786999999999999,2807.5,755.7199999999997
145,8.35,1.5,Female,No,Thur,Lunch,2,7.515,2815.85,764.0699999999997
146,18.64,1.36,Female,No,Thur,Lunch,3,16.776,2834.49,782.7099999999997
147,11.87,1.63,Female,No,Thur,Lunch,2,10.683,2846.3599999999997,794.5799999999997
148,9.78,1.73,Male,No,Thur,Lunch,2,8.802,2856.14,804.3599999999997
149,7.51,2.0,Male,No,Thur,Lunch,2,6.7589999999999995,2863.65,811.8699999999997
150,14.07,2.5,Male,No,Sun,Dinner,2,12.663,2877.7200000000003,799.41
151,13.13,2.0,Male,No,Sun,Dinner,2,11.817,2890.8500000000004,812.54
152,17.26,2.74,Male,No,Sun,Dinner,3,15.534,2908.1100000000006,829.8
153,24.55,2.0,Male,No,Sun,Dinner,4,22.095,2932.6600000000008,854.3499999999999
154,19.77,2.0,Male,No,Sun,Dinner,4,17.793,2952.4300000000007,874.1199999999999
155,29.85,5.14,Female,No,Sun,Dinner,5,26.865000000000002,2982.2800000000007,903.9699999999999
156,48.17,5.0,Male,No,Sun,Dinner,6,43.353,3030.4500000000007,952.1399999999999
157,25.0,3.75,Female,No,Sun,Dinner,4,22.5,3055.4500000000007,977.1399999999999
158,13.39,2.61,Female,No,Sun,Dinner,2,12.051,3068.8400000000006,990.5299999999999
159,16.49,2.0,Male,No,Sun,Dinner,4,14.840999999999998,3085.3300000000004,1007.0199999999999
160,21.5,3.5,Male,No,Sun,Dinner,4,19.35,3106.8300000000004,1028.52
161,12.66,2.5,Male,No,Sun,Dinner,2,11.394,3119.4900000000002,1041.18
162,16.21,2.0,Female,No,Sun,Dinner,3,14.589,3135.7000000000003,1057.39
163,13.81,2.0,Male,No,Sun,Dinner,2,12.429,3149.51,1071.2
164,17.51,3.0,Female,Yes,Sun,Dinner,2,15.759,3167.0200000000004,1088.71
165,24.52,3.48,Male,No,Sun,Dinner,3,22.067999999999998,3191.5400000000004,1113.23
166,20.76,2.24,Male,No,Sun,Dinner,2,18.684,3212.3000000000006,1133.99
167,31.71,4.5,Male,No,Sun,Dinner,4,28.539,3244.0100000000007,1165.7
168,10.59,1.61,Female,Yes,Sat,Dinner,2,9.531,3254.600000000001,1041.07
169,10.63,2.0,Female,Yes,Sat,Dinner,2,9.567,3265.230000000001,1051.7
170,50.81,10.0,Male,Yes,Sat,Dinner,3,45.729,3316.040000000001,1102.51
171,15.81,3.16,Male,Yes,Sat,Dinner,2,14.229000000000001,3331.850000000001,1118.32
172,7.25,5.15,Male,Yes,Sun,Dinner,2,6.525,3339.100000000001,1172.95
173,31.85,3.18,Male,Yes,Sun,Dinner,2,28.665,3370.9500000000007,1204.8
174,16.82,4.0,Male,Yes,Sun,Dinner,2,15.138,3387.770000000001,1221.62
175,32.9,3.11,Male,Yes,Sun,Dinner,2,29.61,3420.670000000001,1254.52
176,17.89,2.0,Male,Yes,Sun,Dinner,2,16.101,3438.560000000001,1272.41
177,14.48,2.0,Male,Yes,Sun,Dinner,2,13.032,3453.040000000001,1286.89
178,9.6,4.0,Female,Yes,Sun,Dinner,2,8.64,3462.640000000001,1296.49
179,34.63,3.55,Male,Yes,Sun,Dinner,2,31.167,3497.270000000001,1331.1200000000001
180,34.65,3.68,Male,Yes,Sun,Dinner,4,31.185,3531.920000000001,1365.7700000000002
181,23.33,5.65,Male,Yes,Sun,Dinner,2,20.997,3555.250000000001,1389.1000000000001
182,45.35,3.5,Male,Yes,Sun,Dinner,3,40.815,3600.600000000001,1434.45
183,23.17,6.5,Male,Yes,Sun,Dinner,4,20.853,3623.770000000001,1457.6200000000001
184,40.55,3.0,Male,Yes,Sun,Dinner,2,36.495,3664.320000000001,1498.17
185,20.69,5.0,Male,No,Sun,Dinner,5,18.621000000000002,3685.010000000001,1518.8600000000001
186,20.9,3.5,Female,Yes,Sun,Dinner,3,18.81,3705.910000000001,1539.7600000000002
187,30.46,2.0,Male,Yes,Sun,Dinner,5,27.414,3736.3700000000013,1570.2200000000003
188,18.15,3.5,Female,Yes,Sun,Dinner,3,16.334999999999997,3754.5200000000013,1588.3700000000003
189,23.1,4.0,Male,Yes,Sun,Dinner,3,20.790000000000003,3777.6200000000013,1611.4700000000003
190,15.69,1.5,Male,Yes,Sun,Dinner,2,14.120999999999999,3793.3100000000013,1627.1600000000003
191,19.81,4.19,Female,Yes,Thur,Lunch,2,17.829,3813.1200000000013,831.6799999999996
192,28.44,2.56,Male,Yes,Thur,Lunch,2,25.596,3841.5600000000013,860.1199999999997
193,15.48,2.02,Male,Yes,Thur,Lunch,2,13.932,3857.0400000000013,875.5999999999997
194,16.58,4.0,Male,Yes,Thur,Lunch,2,14.921999999999999,3873.6200000000013,892.1799999999997
195,7.56,1.44,Male,No,Thur,Lunch,2,6.803999999999999,3881.180000000001,899.7399999999997
196,10.34,2.0,Male,Yes,Thur,Lunch,2,9.306,3891.5200000000013,910.0799999999997
197,43.11,5.0,Female,Yes,Thur,Lunch,4,38.799,3934.6300000000015,953.1899999999997
198,13.0,2.0,Female,Yes,Thur,Lunch,2,11.7,3947.6300000000015,966.1899999999997
199,13.51,2.0,Male,Yes,Thur,Lunch,2,12.158999999999999,3961.1400000000017,979.6999999999997
200,18.71,4.0,Male,Yes,Thur,Lunch,3,16.839000000000002,3979.8500000000017,998.4099999999997
201,12.74,2.01,Female,Yes,Thur,Lunch,2,11.466000000000001,3992.5900000000015,1011.1499999999997
202,13.0,2.0,Female,Yes,Thur,Lunch,2,11.7,4005.5900000000015,1024.1499999999996
203,16.4,2.5,Female,Yes,Thur,Lunch,2,14.759999999999998,4021.9900000000016,1040.5499999999997
204,20.53,4.0,Male,Yes,Thur,Lunch,4,18.477,4042.520000000002,1061.0799999999997
205,16.47,3.23,Female,Yes,Thur,Lunch,3,14.822999999999999,4058.9900000000016,1077.5499999999997
206,26.59,3.41,Male,Yes,Sat,Dinner,3,23.931,4085.5800000000017,1144.9099999999999
207,38.73,3.0,Male,Yes,Sat,Dinner,4,34.857,4124.310000000001,1183.6399999999999
208,24.27,2.03,Male,Yes,Sat,Dinner,2,21.843,4148.580000000002,1207.9099999999999
209,12.76,2.23,Female,Yes,Sat,Dinner,2,11.484,4161.340000000002,1220.6699999999998
210,30.06,2.0,Male,Yes,Sat,Dinner,3,27.054,4191.400000000002,1250.7299999999998
211,25.89,5.16,Male,Yes,Sat,Dinner,4,23.301000000000002,4217.290000000003,1276.62
212,48.33,9.0,Male,No,Sat,Dinner,4,43.497,4265.620000000003,1324.9499999999998
213,13.27,2.5,Female,Yes,Sat,Dinner,2,11.943,4278.890000000003,1338.2199999999998
214,28.17,6.5,Female,Yes,Sat,Dinner,3,25.353,4307.060000000003,1366.3899999999999
215,12.9,1.1,Female,Yes,Sat,Dinner,2,11.61,4319.960000000003,1379.29
216,28.15,3.0,Male,Yes,Sat,Dinner,5,25.334999999999997,4348.110000000002,1407.44
217,11.59,1.5,Male,Yes,Sat,Dinner,2,10.431,4359.700000000003,1419.03
218,7.74,1.44,Male,Yes,Sat,Dinner,2,6.966,4367.440000000002,1426.77
219,30.14,3.09,Female,Yes,Sat,Dinner,4,27.126,4397.580000000003,1456.91
220,12.16,2.2,Male,Yes,Fri,Lunch,2,10.943999999999999,4409.7400000000025,248.11999999999998
221,13.42,3.48,Female,Yes,Fri,Lunch,2,12.078,4423.160000000003,261.53999999999996
222,8.58,1.92,Male,Yes,Fri,Lunch,1,7.7219999999999995,4431.7400000000025,270.11999999999995
223,15.98,3.0,Female,No,Fri,Lunch,3,14.382,4447.720000000002,286.09999999999997
224,13.42,1.58,Male,Yes,Fri,Lunch,2,12.078,4461.140000000002,299.52
225,16.27,2.5,Female,Yes,Fri,Lunch,2,14.642999999999999,4477.410000000003,315.78999999999996
226,10.09,2.0,Female,Yes,Fri,Lunch,2,9.081,4487.500000000003,325.87999999999994
227,20.45,3.0,Male,No,Sat,Dinner,4,18.405,4507.950000000003,1477.3600000000001
228,13.28,2.72,Male,No,Sat,Dinner,2,11.952,4521.230000000002,1490.64
229,22.12,2.88,Female,Yes,Sat,Dinner,2,19.908,4543.350000000002,1512.76
230,24.01,2.0,Male,Yes,Sat,Dinner,4,21.609,4567.360000000002,1536.77
231,15.69,3.0,Male,Yes,Sat,Dinner,3,14.120999999999999,4583.050000000002,1552.46
232,11.61,3.39,Male,No,Sat,Dinner,2,10.449,4594.660000000002,1564.07
233,10.77,1.47,Male,No,Sat,Dinner,2,9.693,4605.430000000002,1574.84
234,15.53,3.0,Male,Yes,Sat,Dinner,2,13.977,4620.960000000002,1590.37
235,10.07,1.25,Male,No,Sat,Dinner,2,9.063,4631.030000000002,1600.4399999999998
236,12.6,1.0,Male,Yes,Sat,Dinner,2,11.34,4643.630000000002,1613.0399999999997
237,32.83,1.17,Male,Yes,Sat,Dinner,2,29.546999999999997,4676.460000000002,1645.8699999999997
238,35.83,4.67,Female,No,Sat,Dinner,3,32.247,4712.290000000002,1681.6999999999996
239,29.03,5.92,Male,No,Sat,Dinner,3,26.127000000000002,4741.3200000000015,1710.7299999999996
240,27.18,2.0,Female,Yes,Sat,Dinner,2,24.462,4768.500000000002,1737.9099999999996
241,22.67,2.0,Male,Yes,Sat,Dinner,2,20.403000000000002,4791.170000000002,1760.5799999999997
242,17.82,1.75,Male,No,Sat,Dinner,2,16.038,4808.990000000002,1778.3999999999996
243,18.78,3.0,Female,No,Thur,Dinner,2,16.902,4827.770000000001,1096.3299999999997
